code,name,name_slugs,name_trans,province
A001,Abano,abano,Abano,PD
A001,Abano Terme,abano-terme,Abano Terme,PD
A003,Abbadia Alpina,abbadia-alpina,Abbadia Alpina,TO
A004,Abbadia Cerreto,abbadia-cerreto,Abbadia Cerreto,MI
A004,Abbadia Cerreto,abbadia-cerreto,Abbadia Cerreto,LO
A005,Abbadia Lariana,abbadia-lariana,Abbadia Lariana,CO
A005,Abbadia Lariana,abbadia-lariana,Abbadia Lariana,LC
A006,Abbadia San Salvatore,abbadia-san-salvatore,Abbadia San Salvatore,SI
A002,Abbadia Sopra Adda,abbadia-sopra-adda,Abbadia Sopra Adda,CO
A007,Abbasanta,abbasanta,Abbasanta,CA
A007,Abbasanta,abbasanta,Abbasanta,CA
A007,Abbasanta,abbasanta,Abbasanta,CA
A007,Abbasanta,abbasanta,Abbasanta,CA
A007,Abbasanta,abbasanta,Abbasanta,OR
A008,Abbateggio,abbateggio,Abbateggio,CH
A008,Abbateggio,abbateggio,Abbateggio,PE
A008,Abbateggio,abbateggio,Abbateggio,PE
A009,Abbazia,abbazia,Abbazia,FU
A010,Abbiategrasso,abbiategrasso,Abbiategrasso,MI
A011,Abbiateguazzone,abbiateguazzone,Abbiateguazzone,CO
A011,Abbiateguazzone,abbiateguazzone,Abbiateguazzone,VA
A012,Abetone,abetone,Abetone,PT
M376,Abetone Cutigliano,abetone-cutigliano,Abetone Cutigliano,PT
A013,Abriola,abriola,Abriola,PZ
A014,Acate,acate,Acate,RG
A015,Accadia,accadia,Accadia,AV
A015,Accadia,accadia,Accadia,FG
A016,Acceglio,acceglio,Acceglio,CN
A017,Accettura,accettura,Accettura,PZ
A017,Accettura,accettura,Accettura,MT
A018,Acciano,acciano,Acciano,AQ
A019,Accumoli,accumoli,Accumoli,AQ
A019,Accumoli,accumoli,Accumoli,RI
A020,Acerenza,acerenza,Acerenza,PZ
A021,Acereto,"acereto, ahornach",Acereto,TN
A021,Acereto,"acereto, ahornach",Acereto,TN
A021,Acereto,"acereto, ahornach",Acereto,BZ
A022,Acernes,"acernes, tscherms",Acernes,TN
A022,Acernes,"acernes, tscherms",Acernes,TN
A023,Acerno,acerno,Acerno,SA
A024,Acerra,acerra,Acerra,CE
A024,Acerra,acerra,Acerra,NA
A025,Aci Bonaccorsi,aci-bonaccorsi,Aci Bonaccorsi,CT
A026,Aci Castello,aci-castello,Aci Castello,CT
A027,Aci Catena,aci-catena,Aci Catena,CT
A029,Aci Sant'Antonio,aci-sant-antonio,Aci Sant'Antonio,CT
A029,Aci Sant'Antonio,aci-sant-antonio,Aci Sant'Antonio,CT
A028,Acireale,acireale,Acireale,CT
A028,Acireale,acireale,Acireale,CT
A031,Acquacanina,acquacanina,Acquacanina,MC
A032,Acquafondata,acquafondata,Acquafondata,CE
A032,Acquafondata,acquafondata,Acquafondata,FR
A033,Acquaformosa,acquaformosa,Acquaformosa,CS
A034,Acquafredda,acquafredda,Acquafredda,BS
A034,Acquafredda,acquafredda,Acquafredda,BS
A035,Acqualagna,acqualagna,Acqualagna,PS
A035,Acqualagna,acqualagna,Acqualagna,PU
A036,Acqualunga,acqualunga,Acqualunga,BS
A039,Acquanegra Cremonese,acquanegra-cremonese,Acquanegra Cremonese,CR
A038,Acquanegra Sul Chiese,acquanegra-sul-chiese,Acquanegra Sul Chiese,MN
A040,Acquapendente,acquapendente,Acquapendente,RM
A040,Acquapendente,acquapendente,Acquapendente,VT
A041,Acquappesa,acquappesa,Acquappesa,CS
A041,Acquappesa,acquappesa,Acquappesa,CS
A042,Acquarica Del Capo,acquarica-del-capo,Acquarica Del Capo,LE
A043,Acquaro,acquaro,Acquaro,CZ
A043,Acquaro,acquaro,Acquaro,CZ
A043,Acquaro,acquaro,Acquaro,CZ
A043,Acquaro,acquaro,Acquaro,VV
A044,Acquasanta,acquasanta,Acquasanta,AP
A044,Acquasanta Terme,acquasanta-terme,Acquasanta Terme,AP
A045,Acquasparta,acquasparta,Acquasparta,PG
A045,Acquasparta,acquasparta,Acquasparta,TR
A045,Acquasparta,acquasparta,Acquasparta,TR
A045,Acquasparta,acquasparta,Acquasparta,TR
A046,Acquate,acquate,Acquate,CO
A050,Acquaviva Collecroce,acquaviva-collecroce,Acquaviva Collecroce,CB
A051,Acquaviva D'Isernia,acquaviva-d-isernia,Acquaviva D'Isernia,CB
A051,Acquaviva D'Isernia,acquaviva-d-isernia,Acquaviva D'Isernia,CB
A051,Acquaviva D'Isernia,acquaviva-d-isernia,Acquaviva D'Isernia,IS
A048,Acquaviva Delle Fonti,acquaviva-delle-fonti,Acquaviva Delle Fonti,BA
A047,Acquaviva Picena,acquaviva-picena,Acquaviva Picena,AP
A049,Acquaviva Platani,acquaviva-platani,Acquaviva Platani,CL
M211,Acquedolci,acquedolci,Acquedolci,ME
A052,Acqui,acqui,Acqui,AL
A052,Acqui,acqui,Acqui,AL
A052,Acqui,acqui,Acqui,AL
A052,Acqui,acqui,Acqui,AL
A052,Acqui Terme,acqui-terme,Acqui Terme,AL
A053,Acri,acri,Acri,CS
A054,Acuto,acuto,Acuto,RM
A054,Acuto,acuto,Acuto,FR
A055,Adelfia,adelfia,Adelfia,BA
A056,Adernò,aderno,Aderno',CT
A056,Adrano,adrano,Adrano,CT
A057,Adrara San Martino,adrara-san-martino,Adrara San Martino,BG
A058,Adrara San Rocco,adrara-san-rocco,Adrara San Rocco,BG
A059,Adria,adria,Adria,RO
A059,Adria,adria,Adria,RO
A060,Adro,adro,Adro,BS
A060,Adro,adro,Adro,BS
A060,Adro,adro,Adro,BS
A061,Affi,affi,Affi,VR
A062,Affile,affile,Affile,RM
A063,Affori,affori,Affori,MI
A064,Afragola,afragola,Afragola,NA
A064,Afragola,afragola,Afragola,NA
A064,Afragola,afragola,Afragola,NA
A065,Africo,africo,Africo,RC
A065,Africo,africo,Africo,RC
A066,Agaro,agaro,Agaro,NO
A067,Agazzano,agazzano,Agazzano,PC
A068,Agerola,agerola,Agerola,NA
A069,Aggius,aggius,Aggius,SS
A069,Aggius,aggius,Aggius,SS
A069,Aggius,aggius,Aggius,SS
A069,Aggius,aggius,Aggius,SS
A069,Aggius,aggius,Aggius,OT
A069,Aggius,aggius,Aggius,SS
A070,Agira,agira,Agira,CT
A070,Agira,agira,Agira,EN
A071,Agliana,agliana,Agliana,FI
A071,Agliana,agliana,Agliana,PT
A072,Agliano,agliano,Agliano,AL
A072,Agliano,agliano,Agliano,AT
A072,Agliano Terme,agliano-terme,Agliano Terme,AT
H848,Aglientu,aglientu,Aglientu,SS
H848,Aglientu,aglientu,Aglientu,OT
H848,Aglientu,aglientu,Aglientu,SS
A074,Agliè,aglie,Aglie',TO
A074,Agliè,aglie,Aglie',AO
A074,Agliè,aglie,Aglie',AO
A074,Agliè,aglie,Aglie',TO
A074,Agliè,aglie,Aglie',TO
A074,Agliè,aglie,Aglie',TO
A075,Agna,agna,Agna,PD
A076,Agnadello,agnadello,Agnadello,CR
A077,Agnana Calabra,agnana-calabra,Agnana Calabra,RC
A078,Agnellengo,agnellengo,Agnellengo,NO
A079,Agnona,agnona,Agnona,NO
A079,Agnona,agnona,Agnona,VC
A080,Agnone,agnone,Agnone,CB
A080,Agnone,agnone,Agnone,CB
A080,Agnone,agnone,Agnone,CB
A080,Agnone,agnone,Agnone,IS
A082,Agnosine,agnosine,Agnosine,BS
A083,Agordo,agordo,Agordo,BL
A084,Agosta,agosta,Agosta,RM
A085,Agra,agra,Agra,CO
A085,Agra,agra,Agra,VA
A085,Agra,agra,Agra,VA
A086,Agrano,agrano,Agrano,NO
A087,Agrate Brianza,agrate-brianza,Agrate Brianza,MI
A087,Agrate Brianza,agrate-brianza,Agrate Brianza,MI
A087,Agrate Brianza,agrate-brianza,Agrate Brianza,MB
A088,Agrate Conturbia,agrate-conturbia,Agrate Conturbia,NO
A089,Agrigento,agrigento,Agrigento,AG
A090,Agrone,agrone,Agrone,TN
A090,Agrone,agrone,Agrone,TN
A091,Agropoli,agropoli,Agropoli,SA
A092,Agugliano,agugliano,Agugliano,AN
A092,Agugliano,agugliano,Agugliano,AN
A093,Agugliaro,agugliaro,Agugliaro,VI
A094,Aias,aias,Aias,AO
A095,Aiba,aiba,Aiba,GO
A095,Aiba,aiba,Aiba,UD
A095,Aiba,aiba,Aiba,GO
